camera data
#####################line########
gazebo      debug
0.405   0.370(error)
0.41    0.375(error)
0.42    0.385(error)
0.43    0.030
0.44    0.051
0.45    0.072
0.46    nan
0.47    nan
0.48    0.124
0.49    nan
0.5     0.124
0.51    0.146
0.52    0.120
0.53    0.130
0.55    0.150
0.6     0.200
0.7     0.300
0.8     0.400
0.9     0.500
1       0.600
1.2     0.800
1.3     0.900
1.4     nan
1.5     1.100
1.6     1.200
1.7     1.300
1.8     1.400
1.9     1.500
2       1.600
2.5     2.100
3       2.600
3.5     3.100
4       3.600
4.5     4.100
5       4.600
5.3     4.900
5.4     5.000
5.5     nan
############diag line######
gazebo(x y)    debug
1 0.5       0.620
1 0.6       0.644
1 0.7       0.649
1 0.8       0.782
1 0.9       0.696
1 1         0.735
























